stage,date,sha,pr,subject
01_scheduling,2025-08-18T13:46:35+01:00,9dc31e4556c2,6305,"Fix unsound assertion in V3Delayed (#6305)"
01_scheduling,2025-08-17T19:35:40+01:00,f6edf26eb2c2,6300,"Fix hierarchical NBAs (#6286) (#6300)"
01_scheduling,2025-08-07T18:17:00+01:00,188a12f609a1,6270,"CI: Add raising GitHub issue on failure of scheduled RTLMeter job (#6270)"
01_scheduling,2025-07-21T19:28:50-04:00,74d4b0c0ea85,6201,"Fix automatic task variables in unrolled loops with forks (#6194) (#6201)."
01_scheduling,2025-07-16T16:04:17+02:00,1bf24c7eb454,6183,"Add support for disabling begin just under fork from outside that begin (#5432 partial) (#6183)"
01_scheduling,2025-07-14T06:51:58-04:00,e2e5d9eaf137,6174,"Support disabling a fork from outside that fork (#6174)"
01_scheduling,2025-07-02T18:43:10-04:00,ae0f29ed37fd,6152,"Fix wide non-blocking assignment mis-optimization (#6150) (#6152)"
01_scheduling,2025-06-28T20:45:45+01:00,bc892deacc6e,6137,"Safely support non-overlapping blocking/non-blocking assignments (#6137)"
01_scheduling,2025-06-26T10:28:58-04:00,d183b4edde16,6126,"Fix variables declared in fork after taskify (#6126)"
01_scheduling,2025-06-10T13:06:05+01:00,07394fcafa15,6074,"Automatically publish scheduled RTLMeter results (#6074)"
01_scheduling,2025-05-20T12:15:09-04:00,6d257ef52c4a,6009,"Improve hierarchical scheduling visualization in V3ExecGraph (#6009)"
01_scheduling,2025-05-18T21:13:37-04:00,f74c67da46a7,6021,"CI: Add variable to explicitly enable some GitHub workflows (#6021)"
01_scheduling,2025-05-08T11:45:10+01:00,5f4646f617ac,5954,"Ignore dependencies from different hierarchical schedules (#5954)"
01_scheduling,2025-05-04T21:25:44-04:00,413183bad88f,,"Fix localize of coroutines (#5972 partial)"
01_scheduling,2025-04-26T09:52:44-04:00,c3d1c3b95285,5927,"Fix vlSelf error on fork repeats (#5927)."
01_scheduling,2025-04-04T08:15:39-04:00,6ba06498db2f,5906,"Fix segfault in fork synchronization (#5906)."
01_scheduling,2025-03-29T15:50:07-04:00,2116b424b947,,"Tests: Cleanup as --binary implies --timing. No test functional change."
01_scheduling,2025-03-22T08:03:25-04:00,f9109eb61f4e,,"Delay deletes in V3Fork (#5862 attempt)"
01_scheduling,2025-03-11T07:40:21-04:00,6ecdd14fdb12,5848,"Fix NBA shared flag reuse (#5848)"
01_scheduling,2025-02-27T21:42:20-05:00,a9762e0c5cfa,,"Fix coredump on fork inside disable named block by adding an UNSUPPORTED"
01_scheduling,2025-02-13T18:33:12-05:00,ffb02cea1548,5777,"Fix ignoring joins in stringify in preprocessor (#5777)"
01_scheduling,2025-01-20T14:24:09-05:00,0507fb46558b,5734,"Improve hierarchical DPI wrapper scheduling performance (#2583) (#5734)"
01_scheduling,2025-01-20T07:23:10-05:00,f4a01eb4525f,5740,"Fix inlined expression with assignment under LHS of NBA (#5736) (#5740)"
01_scheduling,2024-12-19T17:30:40-05:00,bb45fd6c6c52,5690,"Add error on `--savable --timing` (#5690)."
01_scheduling,2024-12-02T05:43:26-05:00,a668b7c6586b,5650,"Fix missing VlProcess handle in coroutines with splits (#5623) (#5650)"
01_scheduling,2024-11-13T08:00:43-05:00,d4a8cbb1d6f5,4449,"Fix `function fork...join_none` regression with unknown type (#4449)."
01_scheduling,2024-11-10T17:38:28+00:00,863abdb1f767,5603,"Fix NBAs to unpacked arrays of unpacked structs (#5603)"
01_scheduling,2024-10-09T11:43:53+01:00,041f6603c3cb,5520,"Make incorrect soft ordering constraint into a hard constraint. (#5520)"
01_scheduling,2024-10-09T10:39:40+01:00,5acced1e3386,5516,"Refactor V3Delay for extensibility (#5516)"
01_scheduling,2024-09-21T07:46:04-04:00,048414328223,5472,"Tests: Update t_timing_finish (#5472)"
01_scheduling,2024-09-20T22:16:00-04:00,0ee214a157cc,,"Tests: Fix t_timing_fork_comb_bad committed earlier"
01_scheduling,2024-09-20T17:46:27-04:00,92dd8ee8f5a4,5472,"Fix timing mode not exiting on empty events (#5472)."
01_scheduling,2024-09-19T19:28:07-04:00,e990415ee09e,,"Tests: Improve driver performance with forkserver"
01_scheduling,2024-09-18T21:20:17-04:00,371a4055b0d9,5456,"Fix false LIFETIME warning on `repeat` in `fork-join` (#5456)."
01_scheduling,2024-09-04T07:57:51-04:00,51691dfde56c,,"Fix driving clocking block in Reactive"
